"","STATE","Totalcount","TotalPop","rate"
"1","AK",1696,3692189,0.0459348099460781
"2","AL",19785,24265966,0.0815339475873328
"3","AR",14434,14899089,0.0968784064582741
"4","AZ",19850,34196763,0.0580464297161693
"5","CA",85134,194467581,0.0437779909444135
"6","CO",11593,27230630,0.0425733815192671
"7","CT",13605,17929761,0.0758794275060331
"8","DC",1527,3370464,0.045305334814435
"9","DE",4153,4703941,0.0882876719754776
"10","FL",85025,101254539,0.0839715442287481
"11","GA",33652,50941256,0.0660604049495756
"12","HI",4171,7098107,0.0587621460200586
"13","IA",12439,15599464,0.079739919269021
"14","ID",4581,8296366,0.055216946793331
"15","IL",47286,64264664,0.0735800937199329
"16","IN",28061,33063622,0.0848697096766954
"17","KS",9503,14525860,0.0654212556089622
"18","KY",24611,22137402,0.11117384054371
"19","LA",17726,23282665,0.0761338961841353
"20","MA",25628,33962755,0.0754591316281615
"21","MD",19392,29898169,0.064860159162255
"22","ME",6980,6653873,0.104901310860607
"23","MI",39794,49704848,0.0800606009297121
"24","MN",18138,27439282,0.0661023127354426
"25","MO",27322,30364511,0.0899800428203833
"26","MS",13230,14946074,0.0885182289342338
"27","MT",3550,5159911,0.0687996362727962
"28","NC",40825,50238101,0.0812630238551413
"29","ND",2240,3722932,0.0601676313185414
"30","NE",6111,9459942,0.064598704727788
"31","NH",5631,6688065,0.0841947558823068
"32","NJ",29774,44359070,0.0671204333183721
"33","NM",4864,10459529,0.0465030499939338
"34","NV",8682,14356827,0.0604729721964331
"35","NY",69809,98178092,0.0711044578051079
"36","OH",49754,58096531,0.0856402252313481
"37","OK",15446,19500812,0.0792069581512811
"38","OR",13682,20141928,0.0679279560526678
"39","PA",54335,63925466,0.084997424969886
"40","RI",4712,5280861,0.0892278740152411
"41","SC",20100,24459653,0.082176145344335
"42","SD",2819,4281467,0.0658419182023358
"43","TN",30129,32978871,0.0913584943523385
"44","TX",66123,137213629,0.04818981939469
"45","UT",3162,14963554,0.0211313435297524
"46","VA",27107,41804189,0.06484278405688
"47","VT",2616,3124796,0.0837174650761202
"48","WA",21958,35899000,0.0611660491935709
"49","WI",21214,28815341,0.0736205065211618
"50","WV",10444,9193313,0.113604312177775
"51","WY",1428,2913563,0.0490121545338131
